"State","Year","Gender","Event","Class","Mark"
"Nebraska",2011,"Girls","High Jump","a","5' 7"""
"Nebraska",2011,"Girls","Pole Vault","a","11' 4"""
"Nebraska",2011,"Girls","800m","a","2:16.320"
"Nebraska",2011,"Girls","100m","a","11.892"
"Nebraska",2011,"Girls","1600m","a","5:10.499"
"Nebraska",2011,"Girls","High Jump","b","5' 5"""
"Nebraska",2011,"Girls","Pole Vault","b","11' 4"""
"Nebraska",2011,"Girls","800m","b","2:15.335"
"Nebraska",2011,"Girls","100m","b","12.350"
"Nebraska",2011,"Girls","1600m","b","4:50.055"
"Nebraska",2011,"Girls","High Jump","c","5' 5"""
"Nebraska",2011,"Girls","Pole Vault","c","11' 6-1/4"""
"Nebraska",2011,"Girls","800m","c","2:17.155"
"Nebraska",2011,"Girls","100m","c","12.635"
"Nebraska",2011,"Girls","1600m","c","5:15.227"
"Nebraska",2011,"Girls","High Jump","d","5' 4"""
"Nebraska",2011,"Girls","Pole Vault","d","10' 10"""
"Nebraska",2011,"Girls","800m","d","2:19.731"
"Nebraska",2011,"Girls","100m","d","12.408"
"Nebraska",2011,"Girls","1600m","d","5:20.348"
"Nebraska",2011,"Boys","High Jump","a","6' 6"""
"Nebraska",2011,"Boys","Pole Vault","a","15' 8-1/2"""
"Nebraska",2011,"Boys","800m","a","1:53.809"
"Nebraska",2011,"Boys","100m","a","10.741"
"Nebraska",2011,"Boys","1600m","a","4:18.891"
"Nebraska",2011,"Boys","High Jump","b","6' 4"""
"Nebraska",2011,"Boys","Pole Vault","b","15' 6"""
"Nebraska",2011,"Boys","800m","b","1:56.047"
"Nebraska",2011,"Boys","100m","b","10.766"
"Nebraska",2011,"Boys","1600m","b","4:25.848"
"Nebraska",2011,"Boys","High Jump","c","6' 4"""
"Nebraska",2011,"Boys","Pole Vault","c","14' 2"""
"Nebraska",2011,"Boys","800m","c","1:57.025"
"Nebraska",2011,"Boys","100m","c","10.852"
"Nebraska",2011,"Boys","1600m","c","4:27.721"
"Nebraska",2011,"Boys","High Jump","d","6' 3"""
"Nebraska",2011,"Boys","Pole Vault","d","14' 9-1/2"""
"Nebraska",2011,"Boys","800m","d","2:01.032"
"Nebraska",2011,"Boys","100m","d","11.235"
"Nebraska",2011,"Boys","1600m","d","4:35.619"
"Nebraska",2010,"Girls","High Jump","a","5' 5"""
"Nebraska",2010,"Girls","Pole Vault","a","12' 0-1/4"""
"Nebraska",2010,"Girls","800m","a","2:15.225"
"Nebraska",2010,"Girls","100m","a","12.076"
"Nebraska",2010,"Girls","1600m","a","5:17.631"
"Nebraska",2010,"Girls","High Jump","b","5' 7"""
"Nebraska",2010,"Girls","Pole Vault","b","11' 2"""
"Nebraska",2010,"Girls","800m","b","2:14.943"
"Nebraska",2010,"Girls","100m","b","12.222"
"Nebraska",2010,"Girls","1600m","b","5:07.726"
"Nebraska",2010,"Girls","High Jump","c","5' 4"""
"Nebraska",2010,"Girls","Pole Vault","c","10' 4"""
"Nebraska",2010,"Girls","800m","c","2:21.948"
"Nebraska",2010,"Girls","100m","c","12.404"
"Nebraska",2010,"Girls","1600m","c","5:24.104"
"Nebraska",2010,"Girls","High Jump","d","5' 3"""
"Nebraska",2010,"Girls","Pole Vault","d","10' 6"""
"Nebraska",2010,"Girls","800m","d","2:17.614"
"Nebraska",2010,"Girls","100m","d","12.356"
"Nebraska",2010,"Girls","1600m","d","5:19.113"
"Nebraska",2010,"Boys","High Jump","a","7' 0"""
"Nebraska",2010,"Boys","Pole Vault","a","15' 2"""
"Nebraska",2010,"Boys","800m","a","1:58.075"
"Nebraska",2010,"Boys","100m","a","10.759"
"Nebraska",2010,"Boys","1600m","a","4:23.066"
"Nebraska",2010,"Boys","High Jump","b","6' 8"""
"Nebraska",2010,"Boys","Pole Vault","b","15' 2"""
"Nebraska",2010,"Boys","800m","b","1:55.165"
"Nebraska",2010,"Boys","100m","b","10.731"
"Nebraska",2010,"Boys","1600m","b","4:21.768"
"Nebraska",2010,"Boys","High Jump","c","6' 5"""
"Nebraska",2010,"Boys","Pole Vault","c","13' 8"""
"Nebraska",2010,"Boys","800m","c","1:56.279"
"Nebraska",2010,"Boys","100m","c","10.823"
"Nebraska",2010,"Boys","1600m","c","4:29.813"
"Nebraska",2010,"Boys","High Jump","d","6' 6"""
"Nebraska",2010,"Boys","Pole Vault","d","13' 2"""
"Nebraska",2010,"Boys","800m","d","1:58.564"
"Nebraska",2010,"Boys","100m","d","11.071"
"Nebraska",2010,"Boys","1600m","d","4:32.131"
"Nebraska",2009,"Girls","High Jump","a","5' 6"""
"Nebraska",2009,"Girls","Pole Vault","a","11' 6"""
"Nebraska",2009,"Girls","800m","a","2:17.110"
"Nebraska",2009,"Girls","100m","a","12.181"
"Nebraska",2009,"Girls","1600m","a","5:10.665"
"Nebraska",2009,"Girls","High Jump","b","5' 7"""
"Nebraska",2009,"Girls","Pole Vault","b","11' 6-1/4"""
"Nebraska",2009,"Girls","800m","b","2:16.051"
"Nebraska",2009,"Girls","100m","b","12.444"
"Nebraska",2009,"Girls","1600m","b","5:08.909"
"Nebraska",2009,"Girls","High Jump","c","5' 4"""
"Nebraska",2009,"Girls","Pole Vault","c","10' 4"""
"Nebraska",2009,"Girls","800m","c","2:15.154"
"Nebraska",2009,"Girls","100m","c","12.856"
"Nebraska",2009,"Girls","1600m","c","5:21.133"
"Nebraska",2009,"Girls","High Jump","d","5' 3"""
"Nebraska",2009,"Girls","Pole Vault","d","9' 6"""
"Nebraska",2009,"Girls","800m","d","2:17.809"
"Nebraska",2009,"Girls","100m","d","12.605"
"Nebraska",2009,"Girls","1600m","d","5:15.372"
"Nebraska",2009,"Boys","High Jump","a","6' 8"""
"Nebraska",2009,"Boys","Pole Vault","a","15' 4"""
"Nebraska",2009,"Boys","800m","a","1:55.361"
"Nebraska",2009,"Boys","100m","a","10.831"
"Nebraska",2009,"Boys","1600m","a","4:21.096"
"Nebraska",2009,"Boys","High Jump","b","6' 8"""
"Nebraska",2009,"Boys","Pole Vault","b","14' 8"""
"Nebraska",2009,"Boys","800m","b","1:56.602"
"Nebraska",2009,"Boys","100m","b","10.942"
"Nebraska",2009,"Boys","1600m","b","4:20.762"
"Nebraska",2009,"Boys","High Jump","c","6' 7"""
"Nebraska",2009,"Boys","Pole Vault","c","14' 6"""
"Nebraska",2009,"Boys","800m","c","1:59.419"
"Nebraska",2009,"Boys","100m","c","10.943"
"Nebraska",2009,"Boys","1600m","c","4:34.142"
"Nebraska",2009,"Boys","High Jump","d","6' 5"""
"Nebraska",2009,"Boys","Pole Vault","d","13' 2"""
"Nebraska",2009,"Boys","800m","d","1:58.147"
"Nebraska",2009,"Boys","100m","d","11.107"
"Nebraska",2009,"Boys","1600m","d","4:35.161"
"Nebraska",2008,"Girls","High Jump","a","5' 7"""
"Nebraska",2008,"Girls","Pole Vault","a","11' 4-1/4"""
"Nebraska",2008,"Girls","800m","a","2:14.15"
"Nebraska",2008,"Girls","100m","a","12.33"
"Nebraska",2008,"Girls","1600m","a","4:58.49"
"Nebraska",2008,"Girls","High Jump","b","5' 8"""
"Nebraska",2008,"Girls","Pole Vault","b","10' 10"""
"Nebraska",2008,"Girls","800m","b","2:16.02"
"Nebraska",2008,"Girls","100m","b","12.24"
"Nebraska",2008,"Girls","1600m","b","5:09.70"
"Nebraska",2008,"Girls","High Jump","c","5' 4"""
"Nebraska",2008,"Girls","Pole Vault","c","10' 2"""
"Nebraska",2008,"Girls","800m","c","2:15.97"
"Nebraska",2008,"Girls","100m","c","12.35"
"Nebraska",2008,"Girls","1600m","c","5:20.39"
"Nebraska",2008,"Girls","High Jump","d","5' 5"""
"Nebraska",2008,"Girls","Pole Vault","d","10' 0"""
"Nebraska",2008,"Girls","800m","d","2:19.66"
"Nebraska",2008,"Girls","100m","d","12.50"
"Nebraska",2008,"Girls","1600m","d","5:21.05"
"Nebraska",2008,"Boys","High Jump","a","6' 6"""
"Nebraska",2008,"Boys","Pole Vault","a","16' 2"""
"Nebraska",2008,"Boys","800m","a","1:54.73"
"Nebraska",2008,"Boys","100m","a","10.67"
"Nebraska",2008,"Boys","1600m","a","4:24.79"
"Nebraska",2008,"Boys","High Jump","b","6' 7"""
"Nebraska",2008,"Boys","Pole Vault","b","14' 8"""
"Nebraska",2008,"Boys","800m","b","1:55.62"
"Nebraska",2008,"Boys","100m","b","10.90"
"Nebraska",2008,"Boys","1600m","b","4:27.39"
"Nebraska",2008,"Boys","High Jump","c","6' 6"""
"Nebraska",2008,"Boys","Pole Vault","c","14' 6"""
"Nebraska",2008,"Boys","800m","c","1:57.32"
"Nebraska",2008,"Boys","100m","c","11.34"
"Nebraska",2008,"Boys","1600m","c","4:33.23"
"Nebraska",2008,"Boys","High Jump","d","6' 4"""
"Nebraska",2008,"Boys","Pole Vault","d","13' 8"""
"Nebraska",2008,"Boys","800m","d","1:58.96"
"Nebraska",2008,"Boys","100m","d","11.26"
"Nebraska",2008,"Boys","1600m","d","4:37.60"
"Nebraska",2007,"Girls","High Jump","a","5' 4"""
"Nebraska",2007,"Girls","Pole Vault","a","12' 0"""
"Nebraska",2007,"Girls","800m","a","2:15.074"
"Nebraska",2007,"Girls","100m","a","12.337"
"Nebraska",2007,"Girls","1600m","a","5:08.168"
"Nebraska",2007,"Girls","High Jump","b","5' 5"""
"Nebraska",2007,"Girls","Pole Vault","b","11' 0"""
"Nebraska",2007,"Girls","800m","b","2:21.558"
"Nebraska",2007,"Girls","100m","b","12.360"
"Nebraska",2007,"Girls","1600m","b","5:18.735"
"Nebraska",2007,"Girls","High Jump","c","5' 5"""
"Nebraska",2007,"Girls","Pole Vault","c","10' 4"""
"Nebraska",2007,"Girls","800m","c","2:16.241"
"Nebraska",2007,"Girls","100m","c","12.489"
"Nebraska",2007,"Girls","1600m","c","5:22.295"
"Nebraska",2007,"Girls","High Jump","d","5' 3"""
"Nebraska",2007,"Girls","Pole Vault","d","10' 4"""
"Nebraska",2007,"Girls","800m","d","2:20.250"
"Nebraska",2007,"Girls","100m","d","12.692"
"Nebraska",2007,"Girls","1600m","d","5:15.139"
"Nebraska",2007,"Boys","High Jump","a","7' 4"""
"Nebraska",2007,"Boys","Pole Vault","a","15' 2"""
"Nebraska",2007,"Boys","800m","a","1:55.534"
"Nebraska",2007,"Boys","100m","a","10.779"
"Nebraska",2007,"Boys","1600m","a","4:18.836"
"Nebraska",2007,"Boys","High Jump","b","7' 0"""
"Nebraska",2007,"Boys","Pole Vault","b","14' 10"""
"Nebraska",2007,"Boys","800m","b","1:56.607"
"Nebraska",2007,"Boys","100m","b","10.682"
"Nebraska",2007,"Boys","1600m","b","4:25.637"
"Nebraska",2007,"Boys","High Jump","c","6' 5"""
"Nebraska",2007,"Boys","Pole Vault","c","13' 10"""
"Nebraska",2007,"Boys","800m","c","1:54.285"
"Nebraska",2007,"Boys","100m","c","11.149"
"Nebraska",2007,"Boys","1600m","c","4:32.227"
"Nebraska",2007,"Boys","High Jump","d","6' 4"""
"Nebraska",2007,"Boys","Pole Vault","d","13' 2"""
"Nebraska",2007,"Boys","800m","d","1:59.803"
"Nebraska",2007,"Boys","100m","d","11.337"
"Nebraska",2007,"Boys","1600m","d","4:36.220"
"Nebraska",2006,"Girls","High Jump","a","5' 6"""
"Nebraska",2006,"Girls","Pole Vault","a","11' 8"""
"Nebraska",2006,"Girls","800m","a","2:17.319"
"Nebraska",2006,"Girls","100m","a","12.589"
"Nebraska",2006,"Girls","1600m","a","5:06.641"
"Nebraska",2006,"Girls","High Jump","b","5' 4"""
"Nebraska",2006,"Girls","Pole Vault","b","11' 10"""
"Nebraska",2006,"Girls","800m","b","2:17.862"
"Nebraska",2006,"Girls","100m","b","12.628"
"Nebraska",2006,"Girls","1600m","b","5:11.947"
"Nebraska",2006,"Girls","High Jump","c","5' 9"""
"Nebraska",2006,"Girls","Pole Vault","c","10' 10"""
"Nebraska",2006,"Girls","800m","c","2:20.102"
"Nebraska",2006,"Girls","100m","c","12.220"
"Nebraska",2006,"Girls","1600m","c","5:20.247"
"Nebraska",2006,"Girls","High Jump","d","5' 3"""
"Nebraska",2006,"Girls","Pole Vault","d","10' 2"""
"Nebraska",2006,"Girls","800m","d","2:20.377"
"Nebraska",2006,"Girls","100m","d","12.871"
"Nebraska",2006,"Girls","1600m","d","5:09.619"
"Nebraska",2006,"Boys","High Jump","a","6' 11"""
"Nebraska",2006,"Boys","Pole Vault","a","14' 6"""
"Nebraska",2006,"Boys","800m","a","1:53.809"
"Nebraska",2006,"Boys","100m","a","10.965"
"Nebraska",2006,"Boys","1600m","a","4:23.681"
"Nebraska",2006,"Boys","High Jump","b","6' 11"""
"Nebraska",2006,"Boys","Pole Vault","b","16' 0-1/4"""
"Nebraska",2006,"Boys","800m","b","1:55.378"
"Nebraska",2006,"Boys","100m","b","11.013"
"Nebraska",2006,"Boys","1600m","b","4:23.491"
"Nebraska",2006,"Boys","High Jump","c","6' 7"""
"Nebraska",2006,"Boys","Pole Vault","c","14' 8"""
"Nebraska",2006,"Boys","800m","c","1:56.333"
"Nebraska",2006,"Boys","100m","c","11.360"
"Nebraska",2006,"Boys","1600m","c","4:31.530"
"Nebraska",2006,"Boys","High Jump","d","6' 4"""
"Nebraska",2006,"Boys","Pole Vault","d","13' 8"""
"Nebraska",2006,"Boys","800m","d","1:59.259"
"Nebraska",2006,"Boys","100m","d","11.454"
"Nebraska",2006,"Boys","1600m","d","4:33.866"
"Nebraska",2005,"Girls","High Jump","a","5' 8"""
"Nebraska",2005,"Girls","Pole Vault","a","10' 8"""
"Nebraska",2005,"Girls","800m","a","2:15.917"
"Nebraska",2005,"Girls","100m","a","12.140"
"Nebraska",2005,"Girls","1600m","a","5:15.226"
"Nebraska",2005,"Girls","High Jump","b","5' 5"""
"Nebraska",2005,"Girls","Pole Vault","b","11' 6-1/4"""
"Nebraska",2005,"Girls","800m","b","2:19.437"
"Nebraska",2005,"Girls","100m","b","12.061"
"Nebraska",2005,"Girls","1600m","b","5:17.885"
"Nebraska",2005,"Girls","High Jump","c","5' 5"""
"Nebraska",2005,"Girls","Pole Vault","c","11' 0"""
"Nebraska",2005,"Girls","800m","c","2:22.156"
"Nebraska",2005,"Girls","100m","c","11.889"
"Nebraska",2005,"Girls","1600m","c","5:17.165"
"Nebraska",2005,"Girls","High Jump","d","5' 4"""
"Nebraska",2005,"Girls","Pole Vault","d","9' 10"""
"Nebraska",2005,"Girls","800m","d","2:24.411"
"Nebraska",2005,"Girls","100m","d","12.701"
"Nebraska",2005,"Girls","1600m","d","5:26.461"
"Nebraska",2005,"Boys","High Jump","a","6' 8"""
"Nebraska",2005,"Boys","Pole Vault","a","14' 0"""
"Nebraska",2005,"Boys","800m","a","1:54.165"
"Nebraska",2005,"Boys","100m","a","10.733"
"Nebraska",2005,"Boys","1600m","a","4:21.012"
"Nebraska",2005,"Boys","High Jump","b","6' 8"""
"Nebraska",2005,"Boys","Pole Vault","b","16' 0"""
"Nebraska",2005,"Boys","800m","b","1:57.653"
"Nebraska",2005,"Boys","100m","b","10.992"
"Nebraska",2005,"Boys","1600m","b","4:29.014"
"Nebraska",2005,"Boys","High Jump","c","6' 7"""
"Nebraska",2005,"Boys","Pole Vault","c","14' 6"""
"Nebraska",2005,"Boys","800m","c","1:59.214"
"Nebraska",2005,"Boys","100m","c","11.190"
"Nebraska",2005,"Boys","1600m","c","4:28.344"
"Nebraska",2005,"Boys","High Jump","d","6' 5"""
"Nebraska",2005,"Boys","Pole Vault","d","12' 6"""
"Nebraska",2005,"Boys","800m","d","1:58.197"
"Nebraska",2005,"Boys","100m","d","11.206"
"Nebraska",2005,"Boys","1600m","d","4:32.756"
"Nebraska",2004,"Girls","High Jump","a","5' 7"""
"Nebraska",2004,"Girls","Pole Vault","a","10' 10"""
"Nebraska",2004,"Girls","800m","a","2:16.400"
"Nebraska",2004,"Girls","100m","a","12.402"
"Nebraska",2004,"Girls","1600m","a","5:02.843"
"Nebraska",2004,"Girls","High Jump","b","5' 5"""
"Nebraska",2004,"Girls","Pole Vault","b","12' 4"""
"Nebraska",2004,"Girls","800m","b","2:16.294"
"Nebraska",2004,"Girls","100m","b","12.071"
"Nebraska",2004,"Girls","1600m","b","5:13.944"
"Nebraska",2004,"Girls","High Jump","c","5' 5"""
"Nebraska",2004,"Girls","Pole Vault","c","11' 0"""
"Nebraska",2004,"Girls","800m","c","2:18.698"
"Nebraska",2004,"Girls","100m","c","12.224"
"Nebraska",2004,"Girls","1600m","c","5:16.140"
"Nebraska",2004,"Girls","High Jump","d","5' 7"""
"Nebraska",2004,"Girls","Pole Vault","d","9' 10"""
"Nebraska",2004,"Girls","800m","d","2:21.942"
"Nebraska",2004,"Girls","100m","d","12.556"
"Nebraska",2004,"Girls","1600m","d","5:26.992"
"Nebraska",2004,"Boys","High Jump","a","6' 10"""
"Nebraska",2004,"Boys","Pole Vault","a","14' 10"""
"Nebraska",2004,"Boys","800m","a","1:53.323"
"Nebraska",2004,"Boys","100m","a","10.747"
"Nebraska",2004,"Boys","1600m","a","4:11.873"
"Nebraska",2004,"Boys","High Jump","b","6' 6"""
"Nebraska",2004,"Boys","Pole Vault","b","15' 6"""
"Nebraska",2004,"Boys","800m","b","1:55.769"
"Nebraska",2004,"Boys","100m","b","10.851"
"Nebraska",2004,"Boys","1600m","b","4:29.594"
"Nebraska",2004,"Boys","High Jump","c","6' 8"""
"Nebraska",2004,"Boys","Pole Vault","c","13' 10"""
"Nebraska",2004,"Boys","800m","c","1:52.626"
"Nebraska",2004,"Boys","100m","c","11.030"
"Nebraska",2004,"Boys","1600m","c","4:28.317"
"Nebraska",2004,"Boys","High Jump","d","6' 6"""
"Nebraska",2004,"Boys","Pole Vault","d","13' 0"""
"Nebraska",2004,"Boys","800m","d","1:58.838"
"Nebraska",2004,"Boys","100m","d","11.045"
"Nebraska",2004,"Boys","1600m","d","4:40.814"
"Nebraska",2003,"Girls","High Jump","a","5' 7"""
"Nebraska",2003,"Girls","Pole Vault","a","10' 4"""
"Nebraska",2003,"Girls","800m","a","2:17.124"
"Nebraska",2003,"Girls","100m","a","12.490"
"Nebraska",2003,"Girls","1600m","a","4:58.091"
"Nebraska",2003,"Girls","High Jump","b","5' 6"""
"Nebraska",2003,"Girls","Pole Vault","b","13' 0"""
"Nebraska",2003,"Girls","800m","b","2:14.617"
"Nebraska",2003,"Girls","100m","b","12.528"
"Nebraska",2003,"Girls","1600m","b","4:58.133"
"Nebraska",2003,"Girls","High Jump","c","5' 8"""
"Nebraska",2003,"Girls","Pole Vault","c","10' 8"""
"Nebraska",2003,"Girls","800m","c","2:23.716"
"Nebraska",2003,"Girls","100m","c","12.649"
"Nebraska",2003,"Girls","1600m","c","5:25.319"
"Nebraska",2003,"Girls","High Jump","d","5' 4"""
"Nebraska",2003,"Girls","Pole Vault","d","10' 0"""
"Nebraska",2003,"Girls","800m","d","2:19.826"
"Nebraska",2003,"Girls","100m","d","12.626"
"Nebraska",2003,"Girls","1600m","d","5:33.349"
"Nebraska",2003,"Boys","High Jump","a","6' 6"""
"Nebraska",2003,"Boys","Pole Vault","a","14' 6"""
"Nebraska",2003,"Boys","800m","a","1:55.223"
"Nebraska",2003,"Boys","100m","a","10.744"
"Nebraska",2003,"Boys","1600m","a","4:12.224"
"Nebraska",2003,"Boys","High Jump","b","6' 8"""
"Nebraska",2003,"Boys","Pole Vault","b","16' 0"""
"Nebraska",2003,"Boys","800m","b","1:57.129"
"Nebraska",2003,"Boys","100m","b","11.085"
"Nebraska",2003,"Boys","1600m","b","4:26.695"
"Nebraska",2003,"Boys","High Jump","c","6' 4"""
"Nebraska",2003,"Boys","Pole Vault","c","14' 0"""
"Nebraska",2003,"Boys","800m","c","1:56.962"
"Nebraska",2003,"Boys","100m","c","11.128"
"Nebraska",2003,"Boys","1600m","c","4:30.360"
"Nebraska",2003,"Boys","High Jump","d","6' 6"""
"Nebraska",2003,"Boys","Pole Vault","d","13' 0"""
"Nebraska",2003,"Boys","800m","d","2:02.266"
"Nebraska",2003,"Boys","100m","d","11.084"
"Nebraska",2003,"Boys","1600m","d","4:35.557"
"Nebraska",2002,"Girls","High Jump","a","5' 6"""
"Nebraska",2002,"Girls","Pole Vault","a","11' 3"""
"Nebraska",2002,"Girls","800m","a","2:15.45"
"Nebraska",2002,"Girls","100m","a","12.13"
"Nebraska",2002,"Girls","1600m","a","5:11.29"
"Nebraska",2002,"Girls","High Jump","b","5' 4"""
"Nebraska",2002,"Girls","Pole Vault","b","12' 10"""
"Nebraska",2002,"Girls","800m","b","2:16.34"
"Nebraska",2002,"Girls","100m","b","12.55"
"Nebraska",2002,"Girls","1600m","b","5:09.51"
"Nebraska",2002,"Girls","High Jump","c","5' 7"""
"Nebraska",2002,"Girls","Pole Vault","c","10' 8"""
"Nebraska",2002,"Girls","800m","c","2:22.13"
